photo_id,owner_user_id,photo_created_at,photo_type,filter_used,is_private,verified_status,post_count,owner_followers,owner_active_followers,likes,unique_likers,follower_like_share,comments,unique_commenters,emoji_comment_share,avg_comment_hashtags,tag_count,hashtags,engagements,engagement_rate,comment_to_like_ratio,active_follower_rate
1,1,2023-04-13 08:04:00,photo,1,1,0,11,77,43,25,25,0.72,25,25,0.52,2.36,5,"fun,party,concert,drunk,smile",50,0.6493506493506493,1.0,0.5584415584415584
2,1,2023-04-13 08:04:00,photo,0,1,0,11,77,43,36,36,0.6666666666666666,31,31,0.4838709677419355,2.3870967741935485,4,"photography,sunrise,landscape,beach",67,0.8701298701298701,0.8611111111111112,0.5584415584415584
3,1,2023-04-13 08:04:00,photo,0,1,0,11,77,43,38,38,0.5789473684210527,27,27,0.5185185185185185,2.4814814814814814,1,beauty,65,0.8441558441558441,0.7105263157894737,0.5584415584415584
4,1,2023-04-13 08:04:00,photo,0,1,0,11,77,43,38,38,0.631578947368421,32,32,0.5,2.28125,4,"lol,happy,fun,smile",70,0.9090909090909091,0.8421052631578947,0.5584415584415584
5,1,2023-04-13 08:04:00,photo,1,1,0,11,77,43,31,31,0.9032258064516129,27,27,0.48148148148148145,2.6296296296296298,4,"style,hair,fashion,party",58,0.7532467532467533,0.8709677419354839,0.5584415584415584
6,2,2023-04-13 08:04:00,photo,1,0,0,7,76,42,31,31,0.4838709677419355,29,29,0.4827586206896552,2.3793103448275863,4,"fun,party,drunk,smile",60,0.7894736842105263,0.9354838709677419,0.5526315789473685
7,2,2023-04-13 08:04:00,photo,1,0,0,7,76,42,38,38,0.5789473684210527,27,27,0.5185185185185185,2.3333333333333335,4,"lol,happy,fun,smile",65,0.8552631578947368,0.7105263157894737,0.5526315789473685
8,2,2023-04-13 08:04:00,photo,1,0,0,7,76,42,27,27,0.7777777777777778,38,38,0.5,2.4210526315789473,4,"fun,party,drunk,smile",65,0.8552631578947368,1.4074074074074074,0.5526315789473685
9,2,2023-04-13 08:04:00,photo,0,0,0,7,76,42,31,31,0.5161290322580645,25,25,0.48,2.56,1,concert,56,0.7368421052631579,0.8064516129032258,0.5526315789473685
10,3,2023-04-13 08:04:00,photo,1,0,0,2,76,42,30,30,0.6666666666666666,24,24,0.5,2.4166666666666665,1,photography,54,0.7105263157894737,0.8,0.5526315789473685
